Dataset,test_f1_macro_mean_GE-11,test_f1_macro_mean_GE-3,test_f1_macro_mean_GE-5,test_f1_macro_mean_GE-7,test_f1_macro_mean_GE-9,test_f1_macro_mean_HARF-70,test_f1_macro_mean_HARF-75,test_f1_macro_mean_HARF-80,test_f1_macro_mean_HARF-85,test_f1_macro_mean_HARF-90,test_f1_macro_mean_ORBoost-11,test_f1_macro_mean_ORBoost-15,test_f1_macro_mean_ORBoost-19,test_f1_macro_mean_ORBoost-3,test_f1_macro_mean_ORBoost-7
1004_synthetic_control_10_0.csv.gz,0.9182433498585085,0.8632216534092233,0.9094731213709996,0.9185846082540803,0.9180620554969886,0.9130338990106454,0.8951889234663811,0.8735563900034835,0.8424132590588708,0.7939024494503513,0.6735588808516905,0.6931661513465031,0.6856140311242871,0.6154960315648657,0.7509447192612726
1004_synthetic_control_10_1.csv.gz,0.9138388400035499,0.8713649161596981,0.908500135891978,0.9149826884557508,0.9129871702104922,0.9121212303324867,0.8960243966557817,0.8779379443108642,0.8517586025825701,0.812177705988108,0.6867630406540163,0.6975858098781422,0.6948905284483157,0.660257519701516,0.7738815528071329
1004_synthetic_control_10_2.csv.gz,0.9091666122078589,0.8494224728216576,0.8926211836048256,0.901660890151197,0.9036034518187386,0.9030524921735871,0.8823599366314332,0.8570637465750919,0.8249440543760056,0.774207842744086,0.6999962873380282,0.7145030331701843,0.7213476054661233,0.5754232472644736,0.7591883300114968
1004_synthetic_control_10_3.csv.gz,0.9184822607872424,0.8780991833539585,0.9151058810068692,0.9211650656361094,0.9194348374262233,0.9275322820254724,0.911192383866154,0.8920609555858491,0.8698002342154766,0.8243989511329815,0.6566766016244604,0.6597040677879865,0.645168368369482,0.65211032700334,0.697960892025571
1004_synthetic_control_10_4.csv.gz,0.9031285789762304,0.840997249024444,0.8852294678560706,0.8939926113152384,0.8989736108599566,0.8907689494414113,0.8714858460434499,0.8486111734763482,0.8172222428211569,0.7728488127478154,0.6386545759339726,0.656685597337016,0.6835111222105746,0.5815856985019449,0.7233263411860602
1004_synthetic_control_10_5.csv.gz,0.9057519020523737,0.8462826089023783,0.8937463895776119,0.9034117699145604,0.9015504197850532,0.8987435508854563,0.8785680042874927,0.8556734809075252,0.8267982176155457,0.7796602423982972,0.6948745998205439,0.7113741191791018,0.730912419752361,0.6055172209677226,0.7576976245225819
1004_synthetic_control_10_6.csv.gz,0.9110229873422179,0.8600617900987061,0.9027468251626439,0.9088450624061671,0.9098469078450891,0.9123020200783024,0.8952699911604657,0.8741649910203217,0.8486053475828297,0.8014503188998958,0.6842159988867,0.7049251881366958,0.7227021899636099,0.6073187612942333,0.7603927468617074
1004_synthetic_control_10_7.csv.gz,0.9114105380863678,0.8708429390986945,0.9087899844484915,0.9109429688764884,0.9115591574274038,0.9182583625204621,0.8996955990855585,0.881181455449661,0.8620165726447864,0.82085068357972,0.6973195364858098,0.6604621510893703,0.6544556866696987,0.6616506255203174,0.7095817336213885
1004_synthetic_control_10_8.csv.gz,0.910685155477356,0.8515726895217186,0.8936147868408828,0.9056627055664148,0.9082985624161962,0.9025166833836274,0.8826770175483943,0.8611580629898576,0.8326920023609644,0.7876541423248439,0.6724681817306076,0.6654372316312746,0.6360974015415767,0.6464417424660617,0.7367459997592201
1004_synthetic_control_10_9.csv.gz,0.9118127475994764,0.8515246424053585,0.8959004305991967,0.9050230794078206,0.908628971396783,0.9037622795471719,0.8813926309718257,0.857389087937636,0.8300385047119896,0.7818030162817223,0.6862161150203319,0.7064380555438329,0.7368105007891859,0.6097176141432232,0.7501519595374845
